engine_number,, HEAD GASKET SET2,make,,year,notes,,HEAD GASKET SET,Piston,Engine Kits,Main Bearing Set,Full Gasket Set,Intake Valve,Exhaust Valve
D16A1,A, HEAD GASKET SET D16A1,Acura,|,1.6L D16A1 DOHC 16V L4 86-89 INTEGRA,Acura|1.6L D16A1 DOHC 16V L4 86-89 INTEGRA|D16A1,|,Acura HEAD GASKET SET D16A1,Acura PISTON D16A1,Acura Engine Kits D16A1,Acura Main Bearing Set D16A1,Acura Full Gasket Set D16A1,Acura Intake Valve D16A1,Acura Exhaust Valve D16A1
B17A1,A, HEAD GASKET SET B17A1,Acura,|,1.7L B17A1 DOHC 16V L4 92-93 INTEGRA GSR,Acura|1.7L B17A1 DOHC 16V L4 92-93 INTEGRA GSR|B17A1,|,Acura HEAD GASKET SET B17A1,Acura PISTON B17A1,Acura Engine Kits B17A1,Acura Main Bearing Set B17A1,Acura Full Gasket Set B17A1,Acura Intake Valve B17A1,Acura Exhaust Valve B17A1
B18C1,A, HEAD GASKET SET B18C1,Acura,|,1.8L B18C1 DOHC 16V L4 94-01 INTEGRA GSR,Acura|1.8L B18C1 DOHC 16V L4 94-01 INTEGRA GSR|B18C1,|,Acura HEAD GASKET SET B18C1,Acura PISTON B18C1,Acura Engine Kits B18C1,Acura Main Bearing Set B18C1,Acura Full Gasket Set B18C1,Acura Intake Valve B18C1,Acura Exhaust Valve B18C1
B18C5,A, HEAD GASKET SET B18C5,Acura,|,1.8L B18C5 DOHC 16V L4 97-01 INTEGRA TYPE-R,Acura|1.8L B18C5 DOHC 16V L4 97-01 INTEGRA TYPE-R|B18C5,|,Acura HEAD GASKET SET B18C5,Acura PISTON B18C5,Acura Engine Kits B18C5,Acura Main Bearing Set B18C5,Acura Full Gasket Set B18C5,Acura Intake Valve B18C5,Acura Exhaust Valve B18C5
B18A1,A, HEAD GASKET SET B18A1,Acura,|,1.8L B18A1/B1 DOHC 16V L4 90-95 INTEGRA,Acura|1.8L B18A1/B1 DOHC 16V L4 90-95 INTEGRA|B18A1,|,Acura HEAD GASKET SET B18A1,Acura PISTON B18A1,Acura Engine Kits B18A1,Acura Main Bearing Set B18A1,Acura Full Gasket Set B18A1,Acura Intake Valve B18A1,Acura Exhaust Valve B18A1
B18B1,A, HEAD GASKET SET B18B1,Acura,|,1.8L B18B1 DOHC 16V L4 96-01 INTEGRA,Acura|1.8L B18B1 DOHC 16V L4 96-01 INTEGRA|B18B1,|,Acura HEAD GASKET SET B18B1,Acura PISTON B18B1,Acura Engine Kits B18B1,Acura Main Bearing Set B18B1,Acura Full Gasket Set B18B1,Acura Intake Valve B18B1,Acura Exhaust Valve B18B1
R20A5,, HEAD GASKET SET R20A5,Acura,|,2.0L R20A5 SOHC 16V L4 13-15 ILX,Acura|2.0L R20A5 SOHC 16V L4 13-15 ILX|R20A5,|,Acura HEAD GASKET SET R20A5,Acura PISTON R20A5,Acura Engine Kits R20A5,Acura Main Bearing Set R20A5,Acura Full Gasket Set R20A5,Acura Intake Valve R20A5,Acura Exhaust Valve R20A5
K20A2,A, HEAD GASKET SET K20A2,Acura,|,2.0L K20A2 DOHC 16V L4 02-04 RSX TYPE-S,Acura|2.0L K20A2 DOHC 16V L4 02-04 RSX TYPE-S|K20A2,|,Acura HEAD GASKET SET K20A2,Acura PISTON K20A2,Acura Engine Kits K20A2,Acura Main Bearing Set K20A2,Acura Full Gasket Set K20A2,Acura Intake Valve K20A2,Acura Exhaust Valve K20A2
K20A3,A, HEAD GASKET SET K20A3,Acura,|,2.0L K20A3 DOHC 16V L4 02-06 RSX,Acura|2.0L K20A3 DOHC 16V L4 02-06 RSX|K20A3,|,Acura HEAD GASKET SET K20A3,Acura PISTON K20A3,Acura Engine Kits K20A3,Acura Main Bearing Set K20A3,Acura Full Gasket Set K20A3,Acura Intake Valve K20A3,Acura Exhaust Valve K20A3
K20Z1,A, HEAD GASKET SET K20Z1,Acura,|,2.0L K20Z1 DOHC 16V L4 05-06 RSX TYPE-S,Acura|2.0L K20Z1 DOHC 16V L4 05-06 RSX TYPE-S|K20Z1,|,Acura HEAD GASKET SET K20Z1,Acura PISTON K20Z1,Acura Engine Kits K20Z1,Acura Main Bearing Set K20Z1,Acura Full Gasket Set K20Z1,Acura Intake Valve K20Z1,Acura Exhaust Valve K20Z1
